UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
00d7ddb1,Loop,32,Men,College,0.5,0.5,BY,1,Europe
00d7ddb1,Switch,32,Men,College,0.5,0.5,BY,1,Europe
00e16b06,Footbridge,44,Men,College,0.62,0.03,ES,0,Europe
00e16b06,Loop,44,Men,College,0.62,0.03,ES,0,Europe
00e16b06,Switch,44,Men,College,0.62,0.03,ES,0,Europe
00ebbf8a,Footbridge,60,Men,College,0.11,0.11,US,0,Americas
00ebbf8a,Loop,60,Men,College,0.11,0.11,US,1,Americas
00ebbf8a,Switch,60,Men,College,0.11,0.11,US,1,Americas
00ed27cb,Footbridge,55,Women,College,0.99,0,CA,0,Americas
00ed27cb,Loop,55,Women,College,0.99,0,CA,1,Americas
00ed27cb,Switch,55,Women,College,0.99,0,CA,1,Americas
00f3a675,Footbridge,43,Women,No College,0.82,0.09,FR,0,Europe
00f3a675,Loop,43,Women,No College,0.82,0.09,FR,1,Europe
00f3a675,Switch,43,Women,No College,0.82,0.09,FR,1,Europe
00f3c012,Footbridge,33,Men,College,0.03,0.01,CZ,1,Europe
00f3c012,Loop,33,Men,College,0.03,0.01,CZ,1,Europe
00f3c012,Switch,33,Men,College,0.03,0.01,CZ,1,Europe
00f6f685,Footbridge,25,Men,College,1,0,PT,0,Europe
00f6f685,Loop,25,Men,College,1,0,PT,1,Europe
00f7eac2,Footbridge,41,Men,College,0.29,0.71,IT,0,Europe
00f7f775,Footbridge,30,Men,College,0.87,0,CA,1,Americas
00f7f775,Loop,30,Men,College,0.87,0,CA,1,Americas
00f7f775,Switch,30,Men,College,0.87,0,CA,1,Americas
00f89a99,Footbridge,32,Men,No College,0.6,0.24,CZ,1,Europe
00f89a99,Loop,32,Men,No College,0.6,0.24,CZ,1,Europe
00f89a99,Switch,32,Men,No College,0.6,0.24,CZ,1,Europe
00fa0c0d,Footbridge,32,Men,College,0.5,0.5,BR,0,Americas
00fa0c0d,Loop,32,Men,College,0.5,0.5,BR,1,Americas
00fa0c0d,Switch,32,Men,College,0.5,0.5,BR,1,Americas
00fe35df,Footbridge,23,Men,College,0.63,0,JP,1,Asia
00fe35df,Loop,23,Men,College,0.63,0,JP,1,Asia
00fe35df,Switch,23,Men,College,0.63,0,JP,1,Asia
00ff7c67,Footbridge,20,Men,College,0.5,0.5,TW,0,Asia
00ff7c67,Loop,20,Men,College,0.5,0.5,TW,0,Asia
00ff7c67,Switch,20,Men,College,0.5,0.5,TW,0,Asia
01087a04,Footbridge,32,Men,College,0.77,0,FR,1,Europe
01087a04,Loop,32,Men,College,0.77,0,FR,1,Europe
01087a04,Switch,32,Men,College,0.77,0,FR,1,Europe
010afaf8,Footbridge,21,Women,College,0.5,0.13,US,1,Americas
010afaf8,Footbridge,21,Women,College,0.5,0.24,US,1,Americas
010afaf8,Loop,21,Women,College,0.5,0.13,US,1,Americas
010afaf8,Loop,21,Women,College,0.5,0.24,US,1,Americas
010afaf8,Switch,21,Women,College,0.5,0.13,US,1,Americas
010afaf8,Switch,21,Women,College,0.5,0.24,US,1,Americas
010d5fa3,Footbridge,18,Men,No College,0.58,0.54,BE,0,Europe
010d5fa3,Loop,18,Men,No College,0.58,0.54,BE,1,Europe
010d5fa3,Switch,18,Men,No College,0.58,0.54,BE,1,Europe
01107dad,Footbridge,28,Men,College,0.71,0.77,GB,1,Europe
01107dad,Loop,28,Men,College,0.71,0.77,GB,1,Europe
01107dad,Switch,28,Men,College,0.71,0.77,GB,1,Europe
0113ba42,Footbridge,29,Men,College,0.81,0.23,US,1,Americas
0113ba42,Footbridge,30,Men,College,0.74,0,US,1,Americas
0113ba42,Switch,29,Men,College,0.81,0.23,US,1,Americas
0113ba42,Switch,30,Men,College,0.74,0,US,1,Americas
01161cfa,Footbridge,21,Men,College,0.84,0.12,IN,0,Asia
01161cfa,Loop,21,Men,College,0.84,0.12,IN,1,Asia
01161cfa,Switch,21,Men,College,0.84,0.12,IN,1,Asia
011685cc,Footbridge,18,Men,No College,0.2,0.5,DE,1,Europe
011685cc,Loop,18,Men,No College,0.2,0.5,DE,1,Europe
011685cc,Switch,18,Men,No College,0.2,0.5,DE,1,Europe
011c8017,Footbridge,30,Women,College,0.5,0.34,FR,0,Europe
011c8017,Loop,30,Women,College,0.5,0.34,FR,1,Europe
011c8017,Switch,30,Women,College,0.5,0.34,FR,1,Europe
011ca71d,Footbridge,20,Women,No College,0.5,0.67,FR,1,Europe
011ca71d,Loop,20,Women,No College,0.5,0.67,FR,0,Europe
